Name;Version;Publisher;Install Date & Time;Uninstall;Registry Hive;Registry Path
Bomgar Jump Client 18.1.4 [assistance.u-ga.fr] [5BB70CFC];18.1.4;Bomgar;10/10/2018 10:01;"""C:\ProgramData\bomgar-scc-0x5badebb2\bomgar-scc.exe"" -pinned win32uninstall /no-spinner";HKEY_LOCAL_MACHINE;SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Bomgar Jump Client [assistance.u-ga.fr-5BB70CFC]
Bomgar Jump Client 18.1.4 [assistance.u-ga.fr] [5BCDBEA7];18.1.4;Bomgar;22/10/2018 14:12;"""C:\ProgramData\bomgar-scc-0x5bcdbea3\bomgar-scc.exe"" -pinned win32uninstall /no-spinner";HKEY_LOCAL_MACHINE;SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Bomgar Jump Client [assistance.u-ga.fr-5BCDBEA7]
"Bomgar Jump Client 18.2.9 [assistance.u-ga.fr] [5C04DFB2]";18.2.9;Bomgar;17/12/2018 09:54;"""C:\ProgramData\bomgar-scc-0x5badebb2\bomgar-scc.exe"" -pinned win32uninstall /no-spinner";HKEY_LOCAL_MACHINE;SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Bomgar Jump Client [assistance.u-ga.fr-5C04DFB2]
"Bomgar Jump Client 18.2.9 [assistance.u-ga.fr] [5C04DFB3]";18.2.9;Bomgar;17/12/2018 09:30;"""C:\ProgramData\bomgar-scc-0x5bcdbea3\bomgar-scc.exe"" -pinned win32uninstall /no-spinner";HKEY_LOCAL_MACHINE;SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Bomgar Jump Client [assistance.u-ga.fr-5C04DFB3]
Bomgar Representative Console 18.1.4 [assistance.u-ga.fr];18.1.4;Bomgar Corporation;22/10/2018 14:37;"""C:\Program Files\Bomgar\Bomgar Representative Console\assistance.u-ga.fr\remove.exe""";HKEY_LOCAL_MACHINE;SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Bomgar Representative Console [assistance.u-ga.fr]
Bonjour;3.0.0.10;Apple Inc.;14/11/2018 10:50;MsiExec.exe /qn /norestart /X{6E3610B2-430D-4EB0-81E3-2B57E8B9DE8D};HKEY_LOCAL_MACHINE;SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{6E3610B2-430D-4EB0-81E3-2B57E8B9DE8D}
calibre;3.37.0;Kovid Goyal;07/01/2019 11:37;MsiExec.exe /qn /norestart /X{3E37ADF7-F356-460C-8653-2AE8342A9105};HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{3E37ADF7-F356-460C-8653-2AE8342A9105}
Cisco AnyConnect Secure Mobility Client;4.7.00136;Cisco Systems, Inc.;24/01/2019 09:28;"""C:\Program Files (x86)\Cisco\Cisco AnyConnect Secure Mobility Client\Uninstall.exe"" -remove";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\Cisco AnyConnect Secure Mobility Client
Classic Sticky Notes;1.0;Winaero;28/09/2018 10:43;"""C:\Program Files\Classic Sticky Notes\unins000.exe"" /SILENT";HKEY_LOCAL_MACHINE;SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Classic Sticky Notes_is1
Composer - Php Dependency Manager;;getcomposer.org;11/03/2019 15:31;"""C:\Program Files (x86)\ComposerSetup\unins000.exe"" /SILENT";HKEY_LOCAL_MACHINE;SOFTWARE\Wow6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{7315AF68-E777-496A-A6A2-4763A98ED35A}_is1
Darkest Dungeon®;;Red Hook Studios;19/12/2018 16:23;"""C:\Program Files (x86)\Steam\steam.exe"" steam://uninstall/262060";HKEY_LOCAL_MACHINE;SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Steam App 262060
Dell Touchpad;10.2207.101.108;ALPS ELECTRIC CO., LTD.;28/09/2018 11:00;"""C:\Program Files\DellTPad\Uninstap.exe"" ADDREMOVE";HKEY_LOCAL_MACHINE;SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\{9F72EF8B-AEC9-4CA5-B483-143980AFD6FD}
