Name;Version
Adobe InDesign CS6;8.0
Adobe Lightroom;6.8
Adobe Lightroom;6.0
Adobe Lightroom;6.14
Adobe Lightroom;6.12
Adobe Lightroom CC;1.5
Adobe Lightroom CC;2.0.2
Adobe Lightroom CC;2.1.1
Adobe Lightroom CC;2.2
Adobe Lightroom Classic CC;7.0.1
Adobe Lightroom Classic CC;7.5
Adobe Lightroom Classic CC;8.0
Adobe Lightroom Classic CC;8.1
Adobe Lightroom Classic CC;8.2
Adobe Lightroom Classic CC;7.3.1
Adobe Media Encoder CC 2017;11.0.2
Adobe Media Encoder CC 2017;11.1.4
Adobe Media Encoder CC 2017;11.1.2
Adobe Media Encoder CC 2018;12.0.0
Adobe Media Encoder CC 2018;12.1.2
Adobe Media Encoder CC 2018;12.0.1
Adobe Media Encoder CC 2018;12.1.1
Adobe Media Encoder CC 2019;13.0
Adobe Media Encoder CC 2019;13.0.1
Adobe Media Encoder CC 2019;13.0.2
Adobe Muse CC 2017;2017.0.1.13
Adobe Muse CC 2017;2017.1.0.821
Adobe Muse CC 2018;2018.0.0.685
Adobe Muse CC 2018;2018.1.0.266
Adobe PDF iFilter 11 for 64-bit platforms;11.0.00
Adobe Photoshop 7.0;7.0
Adobe Photoshop CC 2015.5;17.0.2
Adobe Photoshop CC 2017;18.0.1
Adobe Photoshop CC 2017;18.0.0
Adobe Photoshop CC 2017;18.1.6
Adobe Photoshop CC 2017;18.1.1
Adobe Photoshop CC 2018;19.1.7
Adobe Photoshop CC 2018;19.0.1
Adobe Photoshop CC 2018;19.1.6
Adobe Photoshop CC 2018;19.1.1
Adobe Photoshop CC 2018;19.1.5
Adobe Photoshop CC 2018;19.1.8
Adobe Photoshop CC 2018;19.1.4
Adobe Photoshop CC 2019;20.0.0
Adobe Photoshop CC 2019;20.0.3
Adobe Photoshop CC 2019;20.0.4
Adobe Photoshop CC 2019;20.0.1
Adobe Photoshop CC 2019;20.0.2
Adobe Photoshop CS;CS
Adobe Photoshop CS5.1;12.1
Adobe Photoshop Elements 2.0;2.0
Adobe Photoshop Lightroom 5 64-bit;5.0.1
Adobe Photoshop Lightroom 5.7.1 64-bit;5.7.1
Adobe Prelude CC;2.2.0
Adobe Prelude CC 2017;6.0.2
Adobe Prelude CC 2017;6.1.2
Adobe Prelude CC 2018;7.0.0
Adobe Prelude CC 2018;7.1.1
Adobe Prelude CC 2018;7.0.1
Adobe Prelude CC 2018;7.1.0
Adobe Prelude CC 2019;8.0
Adobe Prelude CC 2019;8.0.1
Adobe Premiere Pro CC;7.2.2
Adobe Premiere Pro CC 2017;11.0.2
Adobe Premiere Pro CC 2017;11.0.0
Adobe Premiere Pro CC 2017;11.1.2
Adobe Premiere Pro CC 2017;11.1.4
Adobe Premiere Pro CC 2018;12.0.0
Adobe Premiere Pro CC 2018;12.1.2
Adobe Premiere Pro CC 2018;12.0.1
Adobe Premiere Pro CC 2018;12.1.1
Adobe Premiere Pro CC 2019;13.0
Adobe Premiere Pro CC 2019;13.0.3
Adobe Premiere Pro CC 2019;13.0.1
Adobe Premiere Pro CC 2019;13.0.2
Adobe Premiere Pro CS4;4
Adobe Premiere Pro CS6 Functional Content;6.0.0
Adobe Premiere Rush CC;1.0.3
Adobe Premiere Rush CC;1.0.2
Adobe Reader XI (11.0.06) - Français;11.0.06
Adobe Reader XI (11.0.10) - Français;11.0.10
Adobe Reader XI (11.0.15) - Français;11.0.15
Adobe Reader XI (11.0.16) - Français;11.0.16
Adobe Reader XI (11.0.17) - Français;11.0.17
Adobe Reader XI (11.0.18) - Français;11.0.18
Adobe Reader XI (11.0.19) - Français;11.0.19
Adobe Reader XI (11.0.20) - Français;11.0.20
Adobe Reader XI (11.0.22) - Français;11.0.22
Adobe Reader XI (11.0.23) - Français;11.0.23
Adobe Shockwave Player 12.2;12.2.9.199
Adobe Shockwave Player 12.3;12.3.2.202
Adobe SpeedGrade CC 2014;8.2.0
Adobe SpeedGrade CC 2015;9.1.0
Adobe SpeedGrade CC 2015;9.0.0
Adobe SVG Viewer 3.0;3.0
Adobe Widget Browser;2.0 Build 348
Adobe Widget Browser;2.0 Build 230
Adobe® Content Viewer;3.4.3
adsl TV;2017.1
Advanced Audio FX Engine;1.12.05
Advanced SystemCare 10;10.1.0
Aegisub 3.2.2;3.2.2
Affixa 3.2014.3.27;3.11.1127
Affixa 3.2015.9.2;3.11.1127
Affixa 3.2016.4.18;3.11.1127
Affixa 3.2017.5.26;3.11.1127
Affixa 3.2017.7.22;3.11.1127
Affixa 3.2018.10.15;3.11.1127
Affixa 3.2018.4.4;3.11.1127
Affixa 3.2018.8.17;3.11.1127
Age of Empires: Definitive Edition;
Agent d'administration de Kaspersky Security Center;10.2.434
Agent d'administration de Kaspersky Security Center 10;10.5.1781
Agent d'administration de Kaspersky Security Center 10;10.4.343
Agent d'administration de Kaspersky Security Center 10;10.3.407
Agent Ransack x64;8.0.867.1
Agilent Cary 60 Driver;1.00.0000
Agilent Cary WinUV 5.0.0.1005;5.0.0.1005
Agilent Cary WinUV 5.0.0.1008;5.0.0.1008
Agilent Cary WinUV Firmware Patch 1.0;1.0
Agilent Cary WinUV Firmware Patch 1.1;1.1
Agilent MassHunter Workstation Qualitative Analysis B.07.00;7.0.7024.0
Agilent34405 IVI Driver 1.0.4.0;1.0.4.0
Agisoft PhotoScan Professional;1.4.1
Aida 2.0;2.0
Airtame;3.3.2
Ajouter ou supprimer Adobe Creative Suite 3 Design Premium;1.0
Akamai NetSession Interface;
AlcesteEducation;1
AlcesteEnseignement;1
Alcor Micro Smart Card Reader Driver;1.7.45.12
AllFrTV version 6.2;6.2
ALOHA Version 5.4.1.2;5.4.1.2
ALPIlmclient 1.4;1.04.3012
ALPIlmclient 1.5;1.5.4014
AlpiUpdate;4.0.1008
AlpiUpdate;4.2.7119
ALPS Touch Pad Driver;8.2206.1717.162
ALPS Touch Pad Driver;8.2206.1717.161
Amapi Pro 7.52;7.52
Amazon Kindle;1.25.1.52064
Amazon Kindle;1.20.1.47037
Amazon Kindle;1.24.3.51068
Amazon Kindle;1.21.0.48017
Amazon Music;7.0.3.1540
Amazon Music;4.3.2.1367
Amazon Music;7.1.1.1546
Amazon Music;6.6.1.1350
Amazon Redshift ODBC Driver 64-bit;1.3.7.1000
Amazon Redshift ODBC Driver 64-bit;1.2.7
Amazon Search;2.3.3
AMD Catalyst Control Center;1.00.0000
AMD Catalyst Install Manager;8.0.916.0
AMD Catalyst Install Manager;3.0.855.0
AMD Install Manager;9.0.000.4
AMD Settings;2016.0902.1748.30217
AMD Settings;2016.0903.849.14039
AMD Settings;2017.1207.1430.26069
AMD Settings;2015.1201.2222.40231
AMD Software;17.12
AMEDTEC ECGpro;4.21.0
Amiens-Cathedrale;1.0.0
Analyseur et SDK MSXML 4.0 SP2;4.20.9818.0
analySIS getIT;5.2.3554
Android Data Recovery 1.1.7;1.1.7
Android Studio;1.0
Anki;
Ansys 17.1 PhITEM;17.1
Ansys 18.2 PhITEM;18.2
Ansys 19.1 PhITEM;19.1
Ant Renamer;2.12.0
Antidote 8;8.05.1877
Antidote 9;9.03.3747
Antidote 9;9.4.3457
Antidote 9;9.4.3427
Antidote 9;9.5.3937
Antidote 9;9.5.3877
Antidote 9 - English module;9.4.3427
